N_u,E_r
1008,0.718519330024719
1008,0.02475562505424
1003,0.148701384663582
1003,0.163709193468094
1006,0.164258256554604
1006,0.040903802961111
1007,0.158266767859459
1008,0.127065226435661
1006,0.143957585096359
1009,0.150842592120171
1001,0.082908034324646
1004,0.09139408916235
1005,0.109012879431248
1006,0.132351860404015
1010,0.125584632158279
1006,0.081313081085682
1006,0.063404403626919
1004,0.060572788119316
1006,0.138923466205597
1009,0.249287784099579
1006,0.122295849025249
1006,0.175336211919785
1005,2.69907832145691
1007,2.69612526893616
1005,0.078626364469528
1004,0.03538378700614
1008,0.139152765274048
1007,0.099061131477356
1005,0.147473871707916
1006,0.146856099367142
1006,0.127500981092453
1008,0.157524779438973
1004,0.177186697721481
1006,0.148065239191055
1006,0.120080284774303
1007,0.12016523629427
1005,0.85104888677597
1008,0.143525362014771
1010,0.073923349380493
1005,0.090669386088848
1005,0.063610963523388
1004,2.67799425125122
1003,2.68157768249512
1005,0.126016333699226
1007,0.13386744260788
1008,0.182793512940407
1005,0.038773767650128
1008,0.054291035979986
1005,0.142362013459206
1008,0.683150589466095
1006,0.045368153601885
1009,0.118232876062393
1003,0.662565767765045
1004,0.826006114482879
1007,0.065876260399819
1003,0.15026818215847
1005,0.109253481030464
1007,0.20095394551754
1009,0.12892347574234
1002,0.199777752161026
1007,0.105338238179684
1005,0.126915827393532
1004,0.730858206748962
1008,0.720580101013184
1005,0.074933238327503
1003,0.045998483896256
1004,0.076938346028328
1009,0.127992078661919
1010,0.183878108859062
1008,2.54246044158936
1008,0.059261940419674
1006,0.159257352352142
1006,0.08560411632061
1003,0.030574776232243
1003,0.114069990813732
1006,0.176364228129387
1009,0.0650579854846
1002,0.084949105978012
1006,0.157455757260323
1007,0.8542839884758
1004,0.114465154707432
1003,0.070912085473538
1005,0.671733438968658
1006,0.720643699169159
1004,0.684589862823486
1010,0.684892177581787
1008,0.735701739788055
1005,0.635050177574158
1007,0.061501059681177
1002,0.167618587613106
1004,0.034915965050459
1006,0.0456957295537
1009,0.058679152280092
1004,0.739464163780212
1009,0.056811437010765
1007,4.81390571594238
1007,0.02838840149343
1007,0.196740031242371
1009,0.100060895085335
1006,0.154945686459541
1008,0.185926988720894
1003,0.069035820662975
1007,0.874211370944977
1005,0.018067747354508
1008,0.869317591190338
1007,0.842477142810822
1006,0.809560358524323
1008,0.858172655105591
1002,0.175838604569435
1004,0.20509697496891
1004,0.03139678761363
1004,0.144820928573608
1005,0.058421939611435
1004,0.050463933497667
1010,0.102413594722748
1006,0.133709132671356
1007,0.717131435871124
1008,0.696463108062744
1004,0.750569641590118
1005,0.090878278017044
1003,0.097508728504181
1007,0.105524107813835
1009,4.76700019836426
1006,0.022295571863651
1005,0.716805458068848
1002,0.743533253669739
1003,2.49803519248962
1010,0.041601672768593
1007,0.033946331590414
1008,0.153402581810951
1003,0.101376824080944
1008,0.180761367082596
1006,6.31711387634277
1008,0.058176919817925
1006,0.190569043159485
1010,0.17675419151783
1006,0.036444440484047
1004,0.19170393049717
1007,0.184333235025406
1004,0.098831474781036
1006,0.035608418285847
1006,0.138007149100304
1004,0.147576749324799
1006,0.090029031038284
1005,0.090612180531025
1008,0.088660754263401
1006,0.168419241905212
1009,0.149213254451752
1002,0.18695729970932
1003,0.056512109935284
1006,0.139495342969894
1009,0.1710304915905
1004,2.55509090423584
1005,0.052526291459799
1008,0.144678667187691
1003,0.106491982936859
1006,0.110024355351925
1007,0.162242501974106
1006,0.088714599609375
1008,0.163733750581741
1008,0.0204410366714
1005,0.074717231094837
1006,0.100459910929203
1005,0.158325418829918
1007,0.133586630225182
1006,0.053820013999939
1004,0.035906795412302
1006,0.182437762618065
1006,0.065244160592556
1007,0.189604714512825
1007,0.073226936161518
1008,0.061899226158857
1007,0.047064796090126
1005,2.65096616744995
1007,2.66906952857971
1009,0.822373807430267
1008,0.050162024796009
1005,0.793375134468079
1007,0.785210430622101
1008,0.853709757328033
1007,0.862031280994415
1006,0.103393666446209
1006,0.045692477375269
1002,0.177265480160713
1010,6.31456327438355
1007,0.122442796826363
1007,0.67325484752655
1007,0.159959271550179
1007,0.157401412725449
1006,0.035217881202698
1004,0.231363072991371
1006,0.095816291868687
1005,0.072836354374886
1007,0.113981299102306
1010,0.172171771526337
1008,0.038687635213137
1003,0.705604732036591
1009,0.105755731463432
1008,0.059045184403658
1004,0.015779800713062
1005,0.164679527282715
1007,0.111902572214603
1008,0.682562053203583
1006,0.184273272752762
1004,0.716947257518768
1004,0.031741581857205
1010,0.131903469562531
1008,0.082303062081337
1009,0.664197385311127
1007,0.65830910205841
1005,0.120253391563892
1006,0.189443856477737
1010,0.101852893829346
1004,0.151853114366531
1002,0.149127498269081
1003,0.035981208086014
1007,0.087064132094383
1005,0.081517666578293
1006,2.7476224899292
1004,0.631572544574737
1005,2.8243556022644
1008,1.99297273159027
1005,1.94712281227112
1006,2.1313784122467
1005,1.93232262134552
1005,3.95005083084106
1007,0.907659530639648
1000,3.31131839752197
1004,3.24251365661621
1008,6.68146896362305
1008,4.8010835647583
1004,3.04478716850281
1008,2.38019251823425
1006,3.2282292842865
1008,3.71834301948547
1003,4.95894575119019
1004,3.65696501731873
1003,4.38278865814209
1004,2.11527347564697
1005,2.85696148872375
1003,3.66252422332764
1003,0.723245680332184
1004,2.92820644378662
1006,2.61882853507996
1005,1.70647406578064
1002,2.70023226737976
1003,2.10952234268188
1005,4.73199987411499
1002,3.43466854095459
1006,5.18943214416504
1006,4.49708223342896
1007,2.66772413253784
1006,1.48577237129211
1005,0.729095816612244
1005,4.70798492431641
1004,4.88281679153442
1005,3.15906715393066
1000,0.417961955070496
1004,1.21895384788513
1003,3.26373147964478
1004,2.24419927597046
1003,4.58022880554199
1010,1.05607664585114
