Nu,Er
1004,0.19106251001358
1002,0.167007729411125
1005,6.2989239692688
1004,0.102284237742424
1003,6.24885225296021
1007,0.09954421967268
1004,6.28726482391357
1002,6.29055070877075
1005,0.129765406250954
1006,6.27840089797974
1005,0.099412202835083
1005,6.29456567764282
1007,0.237716123461723
1005,6.31407403945923
1007,6.3183069229126
1003,6.25261449813843
1001,6.29572820663452
1006,0.110533103346825
1002,6.27520990371704
1006,6.28622579574585
1006,6.28808832168579
1006,0.112109959125519
1004,6.26591777801514
1002,0.104925349354744
1005,6.28900957107544
1006,0.046259757131338
1005,6.33322477340698
1006,6.26966381072998
1009,6.26325702667236
1002,6.25942993164063
1005,0.066918924450874
1004,6.2709379196167
1006,6.26960372924805
1004,0.961471140384674
1003,0.090294517576695
1007,6.26296091079712
1001,1.27976512908936
1004,6.24320507049561
1003,6.29884481430054
1006,6.27454948425293
1006,6.27299785614014
1003,0.17870457470417
1005,6.24518585205078
1004,6.26792049407959
1005,6.30754470825195
1006,6.31924962997437
1006,0.079684488475323
1003,6.32036972045898
1005,6.23837280273438
1003,6.28859281539917
1006,6.30724954605103
1004,0.097990646958351
1007,0.0772999599576
1002,0.159718364477158
1004,6.33077716827393
1001,0.113349832594395
1004,6.29369115829468
1002,6.27995681762695
1008,6.28412628173828
1007,6.31626176834106
1005,6.28275489807129
1003,6.27414798736572
1005,0.106247417628765
1003,0.189200446009636
1005,0.188044294714928
1006,0.15000382065773
1005,0.13271526992321
1002,0.102086439728737
1005,0.070919290184975
1006,0.209240555763245
1008,0.189054891467094
1004,0.175848126411438
1004,0.092725925147534
1003,0.113446265459061
1003,0.071500413119793
1003,0.972173154354095
1003,0.085937395691872
1003,6.28492975234985
1007,0.217328980565071
1004,0.117036581039429
1005,6.27831125259399
1005,6.2919192314148
1002,6.24904298782349
1004,0.189931437373161
1007,0.199067741632462
1006,6.24767637252808
1007,6.23680257797241
1004,0.224340066313744
1004,6.26229619979858
1009,6.23227596282959
1006,0.201206415891647
1005,0.947877585887909
1004,0.200684815645218
1010,6.19911432266235
1006,6.3163013458252
1005,6.34233474731445
1004,0.101665981113911
1005,6.27211904525757
1002,0.102522760629654
1005,0.092140592634678
1005,0.096185371279717
1003,6.34677886962891
1006,6.30258226394653
1002,6.32996511459351
1005,6.26611804962158
1004,6.27573585510254
1006,6.32438850402832
1006,0.144944474101067
1003,6.25899696350098
1006,0.142432868480682
1005,0.199085786938667
1007,6.30772924423218
1005,0.145585060119629
1001,6.29871654510498
1006,0.11800230294466
1006,6.31225442886353
1010,6.32793045043945
1005,0.184858947992325
1002,6.2735013961792
1003,0.184040635824204
1007,6.29436302185059
1007,6.2927131652832
1005,0.129749745130539
1006,0.085457988083363
1004,0.189391702413559
1006,0.310599088668823
1004,0.168368756771088
1004,0.205214321613312
1007,0.149047568440437
1006,0.089496463537216
1005,0.981795132160187
1007,6.28909587860107
1009,0.070037841796875
1005,0.072085350751877
1004,0.111213237047195
1005,6.29456949234009
1006,6.25225257873535
1007,0.170275688171387
1005,6.28439092636108
1004,6.32367086410522
1006,1.11896550655365
1008,0.089044757187367
1006,0.198328271508217
1004,0.169918060302734
1003,6.21980142593384
1004,6.26854705810547
1005,0.132028162479401
1007,0.08428069204092
1008,0.139788240194321
1006,0.082172617316246
1004,0.098856121301651
1003,0.143300801515579
1009,6.24172687530518
1004,1.3320986032486
1008,0.105496406555176
1003,0.075665511190891
1004,0.158760219812393
1003,6.28016901016235
1007,0.181893661618233
1004,6.28187370300293
1003,6.27393293380737
1007,6.29542207717896
1006,6.37927865982056
1007,6.32702589035034
1004,0.133306369185448
1004,6.35580492019653
1005,0.142714887857437
1005,6.26779890060425
1001,6.25852918624878
1004,6.22065877914429
1001,6.25496101379395
1004,6.2985315322876
1006,0.14503575861454
1003,6.260338306427
1005,6.26186895370483
1006,6.26287984848022
1005,0.122493654489517
1004,6.2964301109314
1002,6.28929424285889
1004,4.61192512512207
1005,0.21937982738018
1007,0.096765391528606
1005,0.096094883978367
1004,6.24495363235474
1006,6.23862314224243
1005,6.29400539398193
1007,6.27176284790039
1001,6.27920818328857
1004,6.35279703140259
1004,6.28782367706299
1005,6.28539514541626
1005,0.160143196582794
1004,0.156307250261307
1002,6.32305002212524
1005,6.31229877471924
1005,6.23086738586426
1004,6.32878398895264
1005,6.23838186264038
1003,6.26147985458374
1004,6.26176452636719
1003,6.21094036102295
1005,0.128742456436157
1006,0.107681758701801
1006,6.29627847671509
1003,0.12281272560358
1004,0.216814205050468
1006,0.070444524288178
1003,0.121071547269821
1007,6.30383968353272
1004,0.133726179599762
1005,0.061003424227238
1003,0.113192476332188
1002,0.107774384319782
1006,0.096053324639797
1005,6.27798128128052
1006,6.22833442687988
1007,6.25081586837769
1003,6.25427722930908
1006,0.079214885830879
1006,6.26730585098267
1003,0.082628913223744
1005,6.27336502075195
1005,6.29708385467529
1004,0.107212290167809
1004,6.24795913696289
1004,6.29536628723145
1008,6.26499176025391
1005,0.11459955573082
1002,0.10250523686409
1004,0.124466501176357
1006,0.104170992970467
1005,6.23407697677612
1006,6.24441862106323
1002,6.33429574966431
1008,6.27623081207275
1004,0.139623805880547
1006,0.13005331158638
1010,0.156373769044876
1004,6.26139354705811
1004,6.24579095840454
1006,0.104713283479214
1005,6.27949666976929
1006,0.102574124932289
1004,6.24535274505615
1006,0.184569820761681
1006,6.28101587295532
1003,0.115169525146484
1004,6.28371143341064
1004,6.23032188415527
1006,0.099390313029289
1006,6.28189420700073
1007,6.24783658981323
1004,6.25601196289063
1007,0.121895812451839
1007,4.52631616592407
1004,0.102135963737965
1004,0.076759733259678
1004,0.146142303943634
1005,0.084755010902882
1003,6.22864437103272
1004,0.123506054282188
1007,6.24357557296753
1007,3.69221615791321
1004,0.073840789496899
1005,6.31108951568604
1005,0.110418595373631
1004,1.12087857723236
1007,6.25641202926636
1005,6.31918096542358
1006,0.152269631624222
1007,6.30573415756226
1003,0.211805075407028
1009,6.28386735916138
1004,4.6412525177002
1003,6.2925009727478
1006,6.29859781265259
1004,0.125327110290527
1008,0.072081372141838
1004,6.28658771514893
1003,0.10092831403017
1001,0.156050682067871
1007,6.3072566986084
1003,6.26473665237427
1005,0.102520428597927
1003,0.187071949243546
1006,0.113967284560204
1002,6.24764251708984
1003,0.133528336882591
1004,0.116790130734444
1006,6.25239419937134
1008,0.140260115265846
1005,6.24373245239258
1006,0.12345876544714
1003,6.27852725982666
1005,6.27752780914307
1005,6.27225971221924
1007,4.50409364700317
1005,6.28864097595215
1003,0.132224127650261
1004,6.27616930007935
1003,0.11112767457962
1006,0.110313683748245
1005,0.095758818089962
1008,6.28111267089844
1006,0.129575356841087
1001,0.096812307834625
1004,0.108806274831295
1008,0.065164521336556
1005,0.316317617893219
1003,0.160510867834091
1009,6.24603223800659
1005,6.24868202209473
1004,0.125339418649673
1002,6.30747604370117
1005,6.33320331573486
1004,6.26703929901123
1002,0.165166586637497
1006,6.27847194671631
1004,6.32592058181763
1002,6.33027076721191
1005,0.182605236768723
1005,0.104561567306519
1004,2.68684768676758
1005,6.26792764663696
1002,0.150913462042809
1004,0.202463939785957
1003,0.097279898822308
1003,0.119357630610466
1004,0.117075935006142
1005,6.26195907592773
1006,6.27803516387939
1004,6.30974864959717
1005,0.184464991092682
